kode_bps,nama_wilayah,total_tt,jumlah_penduduk_2021,rasio_tt_resmi,kategori_who_resmi,proyeksi_penduduk_2026,rasio_tt_proyeksi_2026,kategori_who_proyeksi_2026,coverage_periode
3501,Kabupaten Pacitan,337,555984,0.61,merah,575716,0.59,merah,2026-PROJECTED
3502,Kabupaten Ponorogo,1139,871825,1.31,hijau,902766,1.26,hijau,2026-PROJECTED
3503,Kabupaten Trenggalek,674,697600,0.97,kuning,722358,0.93,kuning,2026-PROJECTED
3504,Kabupaten Tulungagung,1994,1043182,1.91,hijau,1080205,1.85,hijau,2026-PROJECTED
3505,Kabupaten Blitar,899,1163789,0.77,kuning,1205092,0.75,kuning,2026-PROJECTED
3506,Kabupaten Kediri,1343,1580092,0.85,kuning,1636169,0.82,kuning,2026-PROJECTED
3507,Kabupaten Malang,2932,2619975,1.12,hijau,2712958,1.08,hijau,2026-PROJECTED
3508,Kabupaten Lumajang,1081,1044718,1.03,hijau,1081795,1.0,hijau,2026-PROJECTED
3509,Kabupaten Jember,2139,2459890,0.87,kuning,2547191,0.84,kuning,2026-PROJECTED
3510,Kabupaten Banyuwangi,1437,1617814,0.89,kuning,1675230,0.86,kuning,2026-PROJECTED
3511,Kabupaten Bondowoso,608,778789,0.78,kuning,806428,0.75,kuning,2026-PROJECTED
3512,Kabupaten Situbondo,777,685776,1.13,hijau,710114,1.09,hijau,2026-PROJECTED
3513,Kabupaten Probolinggo,919,1174890,0.78,kuning,1216587,0.76,kuning,2026-PROJECTED
3514,Kabupaten Pasuruan,1692,1637682,1.03,hijau,1695803,1.0,hijau,2026-PROJECTED
3515,Kabupaten Sidoarjo,4280,2282215,1.88,hijau,2363211,1.81,hijau,2026-PROJECTED
3516,Kabupaten Mojokerto,1656,1126392,1.47,hijau,1166368,1.42,hijau,2026-PROJECTED
3517,Kabupaten Jombang,1563,1268504,1.23,hijau,1313523,1.19,hijau,2026-PROJECTED
3518,Kabupaten Nganjuk,936,1057011,0.89,kuning,1094524,0.86,kuning,2026-PROJECTED
3519,Kabupaten Madiun,944,683784,1.38,hijau,708051,1.33,hijau,2026-PROJECTED
3520,Kabupaten Magetan,505,629020,0.8,kuning,651344,0.78,kuning,2026-PROJECTED
3521,Kabupaten Ngawi,906,830134,1.09,hijau,859595,1.05,hijau,2026-PROJECTED
3522,Kabupaten Bojonegoro,1636,1252020,1.31,hijau,1296454,1.26,hijau,2026-PROJECTED
3523,Kabupaten Tuban,866,1177016,0.74,kuning,1218788,0.71,kuning,2026-PROJECTED
3524,Kabupaten Lamongan,2456,1189380,2.06,hijau,1231591,1.99,hijau,2026-PROJECTED
3525,Kabupaten Gresik,2692,1326420,2.03,hijau,1373495,1.96,hijau,2026-PROJECTED
3526,Kabupaten Bangkalan,1148,994212,1.15,hijau,1029497,1.12,hijau,2026-PROJECTED
3527,Kabupaten Sampang,635,975108,0.65,merah,1009715,0.63,merah,2026-PROJECTED
3528,Kabupaten Pamekasan,797,888214,0.9,kuning,919737,0.87,kuning,2026-PROJECTED
3529,Kabupaten Sumenep,859,1092387,0.79,kuning,1131156,0.76,kuning,2026-PROJECTED
3571,Kota Kediri,1569,289109,5.43,hijau,299369,5.24,hijau,2026-PROJECTED
3572,Kota Blitar,674,142798,4.72,hijau,147866,4.56,hijau,2026-PROJECTED
3573,Kota Malang,4175,874890,4.77,hijau,905940,4.61,hijau,2026-PROJECTED
3574,Kota Probolinggo,601,239024,2.51,hijau,247507,2.43,hijau,2026-PROJECTED
3575,Kota Pasuruan,287,201585,1.42,hijau,208739,1.37,hijau,2026-PROJECTED
3576,Kota Mojokerto,819,129891,6.31,hijau,134501,6.09,hijau,2026-PROJECTED
3577,Kota Madiun,1502,177399,8.47,hijau,183695,8.18,hijau,2026-PROJECTED
3578,Kota Surabaya,12445,2904751,4.28,hijau,3007841,4.14,hijau,2026-PROJECTED
3579,Kota Batu,618,209125,2.96,hijau,216547,2.85,hijau,2026-PROJECTED
