kode_rs,nama_rs,alamat,telepon,kode_bps,kelas,kepemilikan,pemilik_raw,jenis_rs,lat,lng,is_valid_coord,needs_geocoding,sumber_data,coverage_periode
3501016,RS Umum Daerah dr. Darsono,Jalan Ahmad Yani 51,0357-881410,3501,C,pemerintah,Pemkab,RSU,-8.196066,111.100375,1,0,SIRS Kemenkes,2026-LIVE
3502010,RS Umum Daerah Dr. Harjono S. Kabupaten Ponorogo,Jl. Raya Ponorogo-Pacitan Kel. Pakunden,0352-489262,3502,B,pemerintah,Pemkab,RSU,-7.889553,111.460799,1,0,SIRS Kemenkes,2026-LIVE
3502112,RS Umum Aisyiyah Ponorogo,Jl. Dr Sutomo 18-24,0352-461560,3502,C,swasta,SWASTA/LAINNYA,RSU,-7.868725,111.471513,1,0,SIRS Kemenkes,2026-LIVE
3502123,RS Umum Darmayu Ponorogo,Jalan Dr. Sutomo No. 44-50,(0352) 481320,3502,C,swasta,SWASTA/LAINNYA,RSU,-7.868403,111.473378,1,0,SIRS Kemenkes,2026-LIVE
3502134,RS Umum Muhammadiyah Ponorogo,Jalan Diponegoro No. 50,0352 481273,3502,C,swasta,SWASTA/LAINNYA,RSU,-7.866654,111.461329,1,0,SIRS Kemenkes,2026-LIVE
3503011,RS Umum Daerah dr. Soedomo Trenggalek,Jl. dr. Soetomo No. 02,0355-793110,3503,B,pemerintah,Pemkab,RSU,-8.058795,111.703845,1,0,SIRS Kemenkes,2026-LIVE
3503022,RS Umum Budi Asih Trenggalek,Jl. Mayjend Sungkono Nomor 80.,0355 7690686,3503,D,swasta,Organisasi Sosial,RSU,-8.0562,111.698,1,0,SIRS Kemenkes,2026-LIVE
3504012,RS Umum Daerah Dr. Iskak,Jl. Dr. Wahidin Sudiro Husodo,0355-322609,3504,A,pemerintah,Pemkab,RSU,-8.054866,111.918014,1,0,SIRS Kemenkes,2026-LIVE
3504045,RS Umum Islam Orpeha,Jl. KH. R. Abdul Fatah,0355 323186,3504,C,swasta,SWASTA/LAINNYA,RSU,-8.05105,111.87896,1,0,SIRS Kemenkes,2026-LIVE
3505013,RS Umum Daerah Ngudi Waluyo Wlingi,Jalan Doktor Sucipto 5,0342-691006,3505,B,pemerintah,Pemkab,RSU,-8.083685,112.31555,1,0,SIRS Kemenkes,2026-LIVE
