kode_bps,nama_wilayah,total_tt,jumlah_penduduk_2021,rasio_tt_resmi,kategori_who_resmi,proyeksi_penduduk_2026,rasio_tt_proyeksi_2026,kategori_who_proyeksi_2026,total_puskesmas,puskesmas_rawat_inap,puskesmas_non_rawat_inap,total_tt_puskesmas,total_rs,rs_pemerintah,rs_swasta,rs_tni_polri,ahli_gizi,bidan,dokter_gigi,dokter_spesialis,dokter_umum,perawat,sanitarian,total_kasus_pasien_tahunan,kasus_rawat_inap_tahunan,kasus_menular_tahunan,rasio_dokter_per_1000,rasio_perawat_per_1000,rasio_bidan_per_1000
3501,Kabupaten Pacitan,337,555984,0.61,merah,575716,0.59,merah,24,12,12,235,3,1,2,0,22,259,43,46,99,404,13,14585,2264,7091,0.172,0.702,0.45
3502,Kabupaten Ponorogo,1139,871825,1.31,hijau,902766,1.26,hijau,31,18,13,374,7,2,5,0,21,566,64,90,135,490,22,24881,4197,13674,0.15,0.543,0.627
3503,Kabupaten Trenggalek,674,697600,0.97,kuning,722358,0.93,kuning,22,15,7,261,4,2,2,0,28,317,40,112,94,434,20,16434,3633,9064,0.13,0.601,0.439
3504,Kabupaten Tulungagung,1994,1043182,1.91,hijau,1080205,1.85,hijau,32,19,13,346,13,2,10,1,44,610,57,122,154,530,36,30711,5390,17053,0.143,0.491,0.565
3505,Kabupaten Blitar,899,1163789,0.77,kuning,1205092,0.75,kuning,24,16,8,300,8,2,6,0,49,553,67,131,255,708,24,29960,5768,17051,0.212,0.588,0.459
3506,Kabupaten Kediri,1343,1580092,0.85,kuning,1636169,0.82,kuning,37,20,17,421,12,2,10,0,33,864,88,204,273,750,51,42697,8581,21388,0.167,0.458,0.528
3507,Kabupaten Malang,2932,2619975,1.12,hijau,2712958,1.08,hijau,39,24,15,490,25,4,19,2,108,1036,126,171,361,1255,92,67558,11245,33447,0.133,0.463,0.382
3508,Kabupaten Lumajang,1081,1044718,1.03,hijau,1081795,1.0,hijau,25,14,11,291,8,3,4,1,33,640,66,155,175,674,42,28624,5814,16139,0.162,0.623,0.592
3509,Kabupaten Jember,2139,2459890,0.87,kuning,2547191,0.84,kuning,50,26,24,501,14,6,7,1,77,913,102,362,482,1213,99,63026,13792,33329,0.189,0.476,0.358
3510,Kabupaten Banyuwangi,1437,1617814,0.89,kuning,1675230,0.86,kuning,45,22,23,413,13,2,11,0,76,935,77,276,357,1138,61,41987,8489,20141,0.213,0.679,0.558
3511,Kabupaten Bondowoso,608,778789,0.78,kuning,806428,0.75,kuning,25,13,12,249,4,1,2,1,26,446,55,63,104,523,29,20088,3868,10152,0.129,0.649,0.553
3512,Kabupaten Situbondo,777,685776,1.13,hijau,710114,1.09,hijau,20,11,9,240,9,3,6,0,25,251,51,120,91,378,23,19053,3648,10021,0.128,0.532,0.353
3513,Kabupaten Probolinggo,919,1174890,0.78,kuning,1216587,0.76,kuning,33,15,18,313,6,2,4,0,55,431,59,77,179,807,28,31172,5613,16773,0.147,0.663,0.354
3514,Kabupaten Pasuruan,1692,1637682,1.03,hijau,1695803,1.0,hijau,33,19,14,402,11,2,8,1,37,695,128,118,227,1165,53,40831,7956,21894,0.134,0.687,0.41
3515,Kabupaten Sidoarjo,4280,2282215,1.88,hijau,2363211,1.81,hijau,27,18,9,348,33,2,28,3,77,973,136,128,437,1481,75,52053,9704,27177,0.185,0.627,0.412
3516,Kabupaten Mojokerto,1656,1126392,1.47,hijau,1166368,1.42,hijau,27,17,10,346,12,4,8,0,33,546,75,104,162,695,43,27316,5611,15225,0.139,0.596,0.468
3517,Kabupaten Jombang,1563,1268504,1.23,hijau,1313523,1.19,hijau,34,21,13,399,17,2,14,1,35,482,100,187,197,756,28,31848,5772,16706,0.15,0.576,0.367
3518,Kabupaten Nganjuk,936,1057011,0.89,kuning,1094524,0.86,kuning,27,15,12,351,4,2,1,1,44,514,59,82,150,624,37,28192,4567,14006,0.137,0.57,0.47
3519,Kabupaten Madiun,944,683784,1.38,hijau,708051,1.33,hijau,26,13,13,293,4,4,0,0,27,287,50,78,142,463,19,20588,3469,11288,0.201,0.654,0.405
3520,Kabupaten Magetan,505,629020,0.8,kuning,651344,0.78,kuning,22,14,8,269,6,1,4,1,19,312,33,99,126,390,14,17574,3531,10200,0.193,0.599,0.479
3521,Kabupaten Ngawi,906,830134,1.09,hijau,859595,1.05,hijau,24,16,8,297,5,3,2,0,24,451,60,156,109,508,29,20192,4277,11182,0.127,0.591,0.525
3522,Kabupaten Bojonegoro,1636,1252020,1.31,hijau,1296454,1.26,hijau,36,20,16,409,12,5,6,1,28,761,76,200,281,976,37,32989,6046,16629,0.217,0.753,0.587
3523,Kabupaten Tuban,866,1177016,0.74,kuning,1218788,0.71,kuning,33,17,16,368,6,2,4,0,55,647,77,111,199,594,25,28512,5903,15352,0.163,0.487,0.531
3524,Kabupaten Lamongan,2456,1189380,2.06,hijau,1231591,1.99,hijau,33,18,15,357,19,4,15,0,59,802,88,124,255,887,36,35464,6351,19582,0.207,0.72,0.651
3525,Kabupaten Gresik,2692,1326420,2.03,hijau,1373495,1.96,hijau,32,16,16,321,21,3,18,0,35,549,90,102,254,759,32,32734,6399,17910,0.185,0.553,0.4
3526,Kabupaten Bangkalan,1148,994212,1.15,hijau,1029497,1.12,hijau,22,14,8,300,8,1,7,0,44,416,52,76,213,543,33,26390,4945,14363,0.207,0.527,0.404
3527,Kabupaten Sampang,635,975108,0.65,merah,1009715,0.63,merah,22,12,10,228,5,2,3,0,34,387,56,163,181,449,33,23356,3923,12121,0.179,0.445,0.383
3528,Kabupaten Pamekasan,797,888214,0.9,kuning,919737,0.87,kuning,20,13,7,266,9,3,5,1,25,499,42,103,181,537,33,22870,4530,12315,0.197,0.584,0.543
3529,Kabupaten Sumenep,859,1092387,0.79,kuning,1131156,0.76,kuning,30,18,12,360,6,2,4,0,23,426,66,145,237,551,36,29007,6037,15762,0.21,0.487,0.377
3571,Kota Kediri,1569,289109,5.43,hijau,299369,5.24,hijau,9,3,6,41,12,3,7,2,6,129,18,51,55,215,6,7470,1315,3733,0.184,0.718,0.431
3572,Kota Blitar,674,142798,4.72,hijau,147866,4.56,hijau,3,2,1,53,5,1,4,0,6,61,11,18,22,81,4,3821,728,1888,0.149,0.548,0.413
3573,Kota Malang,4175,874890,4.77,hijau,905940,4.61,hijau,16,5,11,95,30,4,23,3,40,456,62,66,148,614,22,21931,4352,10918,0.163,0.678,0.503
3574,Kota Probolinggo,601,239024,2.51,hijau,247507,2.43,hijau,6,2,4,44,5,2,3,0,5,96,18,23,29,142,5,6149,1150,3305,0.117,0.574,0.388
3575,Kota Pasuruan,287,201585,1.42,hijau,208739,1.37,hijau,8,2,6,25,2,1,1,0,5,112,15,35,34,141,7,4923,1113,2632,0.163,0.675,0.537
3576,Kota Mojokerto,819,129891,6.31,hijau,134501,6.09,hijau,6,2,4,41,6,1,5,0,5,50,8,16,20,95,4,3733,730,1989,0.149,0.706,0.372
3577,Kota Madiun,1502,177399,8.47,hijau,183695,8.18,hijau,6,3,3,61,9,2,6,1,7,114,10,27,36,134,7,5298,937,2920,0.196,0.729,0.621
3578,Kota Surabaya,12445,2904751,4.28,hijau,3007841,4.14,hijau,63,23,40,387,68,11,50,7,89,1484,192,192,590,1375,106,78742,14578,41699,0.196,0.457,0.493
3579,Kota Batu,618,209125,2.96,hijau,216547,2.85,hijau,5,2,3,56,6,1,4,1,5,75,8,37,26,100,8,5389,1069,2854,0.12,0.462,0.346
